Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,SEO Title,SEO Description
3ddcca9b,Jas 229,<p>Een hoogwaardige jas van Leder in Paars kleur en maat S.</p>,FashionBrand,Jas,"Paars,Leder,S,Jas,Unisex,Zomer",TRUE,Color,Paars,Size,S,2de80d75deca,815,shopify,485,deny,manual,391.01,391.01,TRUE,TRUE,,Koop Jas 229 in Paars - Perfect voor Sport,"Jas 229 gemaakt van Leder, ideaal voor Zomer en Sport gelegenheden."
c8540aac,Accessoire 462,<p>Een hoogwaardige accessoire van Wol in Wit kleur en maat One Size.</p>,FashionBrand,Accessoire,"Wit,Wol,One Size,Accessoire,Unisex,Lente",TRUE,Color,Wit,Size,One Size,328f1caf3f86,649,shopify,291,deny,manual,461.11,599.44,TRUE,TRUE,,Koop Accessoire 462 in Wit - Perfect voor Casual,"Accessoire 462 gemaakt van Wol, ideaal voor Lente en Casual gelegenheden."
b41ad653,Shirt 68,<p>Een hoogwaardige shirt van Wol in Wit kleur en maat M.</p>,FashionBrand,Shirt,"Wit,Wol,M,Shirt,Dames,Winter",TRUE,Color,Wit,Size,M,567b52483673,813,shopify,429,deny,manual,392.89,392.89,TRUE,TRUE,,Koop Shirt 68 in Wit - Perfect voor Sport,"Shirt 68 gemaakt van Wol, ideaal voor Winter en Sport gelegenheden."
3c537773,Schoenen 253,<p>Een hoogwaardige schoenen van Katoen in Zwart kleur en maat 44.</p>,FashionBrand,Schoenen,"Zwart,Katoen,44,Schoenen,Dames,Lente",TRUE,Color,Zwart,Size,44,19c6bb569bfc,235,shopify,165,deny,manual,141.67,141.67,TRUE,TRUE,,,
efd95ca6,Broek 420,<p>Een hoogwaardige broek van Leder in Blauw kleur en maat 28.</p>,FashionBrand,Broek,"Blauw,Leder,28,Broek,Dames,Lente",TRUE,Color,Blauw,Size,28,13981aed1bcb,801,shopify,317,deny,manual,462.16,600.81,TRUE,TRUE,,Koop Broek 420 in Blauw - Perfect voor Sport,"Broek 420 gemaakt van Leder, ideaal voor Lente en Sport gelegenheden."
e8e0a256,Broek 422,<p>Een hoogwaardige broek van Katoen in Grijs kleur en maat 34.</p>,FashionBrand,Broek,"Grijs,Katoen,34,Broek,Unisex,Herfst",TRUE,Color,Grijs,Size,34,a5272296bfb3,212,shopify,153,deny,manual,56.27,56.27,TRUE,TRUE,,Koop Broek 422 in Grijs - Perfect voor Casual,
8c4eae9e,Jurk 281,<p>Een hoogwaardige jurk van Wol in Bruin kleur en maat S.</p>,FashionBrand,Jurk,"Bruin,Wol,S,Jurk,Dames,Lente",TRUE,Color,Bruin,Size,S,e98a73651313,1192,shopify,32,deny,manual,218.91,218.91,TRUE,TRUE,,Koop Jurk 281 in Bruin - Perfect voor Werk,
74eae146,Broek 293,<p>Een hoogwaardige broek van Denim in Groen kleur en maat 36.</p>,FashionBrand,Broek,"Groen,Denim,36,Broek,Unisex,Winter",TRUE,Color,Groen,Size,36,0087fa05756b,864,shopify,203,deny,manual,85.09,85.09,TRUE,TRUE,,Koop Broek 293 in Groen - Perfect voor Casual,
d43fbfb6,Jurk 419,<p>Een hoogwaardige jurk van Polyester in Paars kleur en maat L.</p>,FashionBrand,Jurk,"Paars,Polyester,L,Jurk,Unisex,Winter",TRUE,Color,Paars,Size,L,ec571b24d8fd,449,shopify,486,deny,manual,185.6,185.6,TRUE,TRUE,,,
1caea2a1,Shirt 471,<p>Een hoogwaardige shirt van Polyester in Bruin kleur en maat XL.</p>,FashionBrand,Shirt,"Bruin,Polyester,XL,Shirt,Unisex,Lente",TRUE,Color,Bruin,Size,XL,d8bfa9e881e2,1026,shopify,223,deny,manual,483.12,628.06,TRUE,TRUE,,,
cab7b65a,Accessoire 359,<p>Een hoogwaardige accessoire van Katoen in Bruin kleur en maat One Size.</p>,FashionBrand,Accessoire,"Bruin,Katoen,One Size,Accessoire,Heren,Lente",TRUE,Color,Bruin,Size,One Size,ef3baf027c80,303,shopify,165,deny,manual,194.74,214.21,TRUE,TRUE,,Koop Accessoire 359 in Bruin - Perfect voor Formeel,
80e1aa54,Jas 43,<p>Een hoogwaardige jas van Leder in Wit kleur en maat M.</p>,FashionBrand,Jas,"Wit,Leder,M,Jas,Heren,Herfst",TRUE,Color,Wit,Size,M,e2eff9454c32,799,shopify,78,deny,manual,274.23,274.23,TRUE,TRUE,,Koop Jas 43 in Wit - Perfect voor Formeel,"Jas 43 gemaakt van Leder, ideaal voor Herfst en Formeel gelegenheden."
b8cadad8,Jurk 283,<p>Een hoogwaardige jurk van Polyester in Zwart kleur en maat M.</p>,FashionBrand,Jurk,"Zwart,Polyester,M,Jurk,Unisex,Lente",TRUE,Color,Zwart,Size,M,71fda6c7ffff,596,shopify,31,deny,manual,170.21,170.21,TRUE,TRUE,,Koop Jurk 283 in Zwart - Perfect voor Werk,"Jurk 283 gemaakt van Polyester, ideaal voor Lente en Werk gelegenheden."
b671cf5e,Jurk 134,<p>Een hoogwaardige jurk van Wol in Beige kleur en maat L.</p>,FashionBrand,Jurk,"Beige,Wol,L,Jurk,Heren,Winter",TRUE,Color,Beige,Size,L,db32fe1d64e0,442,shopify,300,deny,manual,261.96,261.96,TRUE,TRUE,,Koop Jurk 134 in Beige - Perfect voor Casual,"Jurk 134 gemaakt van Wol, ideaal voor Winter en Casual gelegenheden."
22bb2f9e,Broek 488,<p>Een hoogwaardige broek van Leder in Blauw kleur en maat 30.</p>,FashionBrand,Broek,"Blauw,Leder,30,Broek,Heren,Lente",TRUE,Color,Blauw,Size,30,ec47f5afc8e9,874,shopify,489,deny,manual,342.62,342.62,TRUE,TRUE,,Koop Broek 488 in Blauw - Perfect voor Werk,"Broek 488 gemaakt van Leder, ideaal voor Lente en Werk gelegenheden."
24b9bc8d,Accessoire 28,<p>Een hoogwaardige accessoire van Polyester in Grijs kleur en maat One Size.</p>,FashionBrand,Accessoire,"Grijs,Polyester,One Size,Accessoire,Dames,Lente",TRUE,Color,Grijs,Size,One Size,4afba1694380,1068,shopify,243,deny,manual,18.49,18.49,TRUE,TRUE,,Koop Accessoire 28 in Grijs - Perfect voor Casual,"Accessoire 28 gemaakt van Polyester, ideaal voor Lente en Casual gelegenheden."
bbce6df8,Schoenen 103,<p>Een hoogwaardige schoenen van Leder in Bruin kleur en maat 42.</p>,FashionBrand,Schoenen,"Bruin,Leder,42,Schoenen,Heren,Herfst",TRUE,Color,Bruin,Size,42,8b3717589c5d,1017,shopify,212,deny,manual,212.79,212.79,TRUE,TRUE,,,"Schoenen 103 gemaakt van Leder, ideaal voor Herfst en Casual gelegenheden."
41dd3ef9,Jurk 170,<p>Een hoogwaardige jurk van Denim in Paars kleur en maat S.</p>,FashionBrand,Jurk,"Paars,Denim,S,Jurk,Dames,Lente",TRUE,Color,Paars,Size,S,6662f0a53606,1193,shopify,283,deny,manual,329.86,329.86,TRUE,TRUE,,Koop Jurk 170 in Paars - Perfect voor Formeel,"Jurk 170 gemaakt van Denim, ideaal voor Lente en Formeel gelegenheden."
4fe6d9ae,Broek 83,<p>Een hoogwaardige broek van Katoen in Groen kleur en maat 34.</p>,FashionBrand,Broek,"Groen,Katoen,34,Broek,Unisex,Lente",TRUE,Color,Groen,Size,34,ebc526f78e12,656,shopify,437,deny,manual,445.13,489.64,TRUE,TRUE,,,"Broek 83 gemaakt van Katoen, ideaal voor Lente en Werk gelegenheden."
a9f3c1db,Broek 362,<p>Een hoogwaardige broek van Katoen in Grijs kleur en maat 28.</p>,FashionBrand,Broek,"Grijs,Katoen,28,Broek,Heren,Winter",TRUE,Color,Grijs,Size,28,ebed0d10a964,778,shopify,258,deny,manual,246.85,246.85,TRUE,TRUE,,Koop Broek 362 in Grijs - Perfect voor Formeel,"Broek 362 gemaakt van Katoen, ideaal voor Winter en Formeel gelegenheden."
08682c9e,Broek 484,<p>Een hoogwaardige broek van Katoen in Paars kleur en maat 30.</p>,FashionBrand,Broek,"Paars,Katoen,30,Broek,Unisex,Herfst",TRUE,Color,Paars,Size,30,5046b4c10b2f,755,shopify,133,deny,manual,189.51,189.51,TRUE,TRUE,,Koop Broek 484 in Paars - Perfect voor Formeel,"Broek 484 gemaakt van Katoen, ideaal voor Herfst en Formeel gelegenheden."
317e02b8,Jas 77,<p>Een hoogwaardige jas van Linnen in Beige kleur en maat M.</p>,FashionBrand,Jas,"Beige,Linnen,M,Jas,Dames,Winter",TRUE,Color,Beige,Size,M,d587c70922f2,874,shopify,86,deny,manual,204.01,204.01,TRUE,TRUE,,Koop Jas 77 in Beige - Perfect voor Casual,
1d6e01e3,Jurk 342,<p>Een hoogwaardige jurk van Wol in Rood kleur en maat M.</p>,FashionBrand,Jurk,"Rood,Wol,M,Jurk,Dames,Zomer",TRUE,Color,Rood,Size,M,09bc36b38304,1103,shopify,187,deny,manual,323.07,323.07,TRUE,TRUE,,Koop Jurk 342 in Rood - Perfect voor Formeel,
eda5ea30,Broek 103,<p>Een hoogwaardige broek van Linnen in Wit kleur en maat 28.</p>,FashionBrand,Broek,"Wit,Linnen,28,Broek,Unisex,Lente",TRUE,Color,Wit,Size,28,d272e2381228,722,shopify,206,deny,manual,315.26,315.26,TRUE,TRUE,,,
53722359,Schoenen 339,<p>Een hoogwaardige schoenen van Polyester in Beige kleur en maat 40.</p>,FashionBrand,Schoenen,"Beige,Polyester,40,Schoenen,Heren,Zomer",TRUE,Color,Beige,Size,40,8cf0d0fe2b14,493,shopify,74,deny,manual,407.49,407.49,TRUE,TRUE,,Koop Schoenen 339 in Beige - Perfect voor Werk,"Schoenen 339 gemaakt van Polyester, ideaal voor Zomer en Werk gelegenheden."
bf2546b6,Jurk 362,<p>Een hoogwaardige jurk van Leder in Paars kleur en maat L.</p>,FashionBrand,Jurk,"Paars,Leder,L,Jurk,Heren,Winter",TRUE,Color,Paars,Size,L,40a127089029,1165,shopify,395,deny,manual,475.45,570.54,TRUE,TRUE,,Koop Jurk 362 in Paars - Perfect voor Werk,"Jurk 362 gemaakt van Leder, ideaal voor Winter en Werk gelegenheden."
497d7e5b,Accessoire 5,<p>Een hoogwaardige accessoire van Polyester in Blauw kleur en maat One Size.</p>,FashionBrand,Accessoire,"Blauw,Polyester,One Size,Accessoire,Heren,Winter",TRUE,Color,Blauw,Size,One Size,494af30e5261,952,shopify,271,deny,manual,21.67,26.0,TRUE,TRUE,,Koop Accessoire 5 in Blauw - Perfect voor Sport,"Accessoire 5 gemaakt van Polyester, ideaal voor Winter en Sport gelegenheden."
3fb5e8c5,Jas 359,<p>Een hoogwaardige jas van Leder in Bruin kleur en maat M.</p>,FashionBrand,Jas,"Bruin,Leder,M,Jas,Dames,Zomer",TRUE,Color,Bruin,Size,M,141f83289bcb,623,shopify,117,deny,manual,316.6,316.6,TRUE,TRUE,,Koop Jas 359 in Bruin - Perfect voor Formeel,"Jas 359 gemaakt van Leder, ideaal voor Zomer en Formeel gelegenheden."
d1e3c041,Shirt 395,<p>Een hoogwaardige shirt van Leder in Paars kleur en maat M.</p>,FashionBrand,Shirt,"Paars,Leder,M,Shirt,Dames,Herfst",TRUE,Color,Paars,Size,M,1e547d51e0b8,650,shopify,113,deny,manual,238.67,238.67,TRUE,TRUE,,Koop Shirt 395 in Paars - Perfect voor Casual,"Shirt 395 gemaakt van Leder, ideaal voor Herfst en Casual gelegenheden."
bf73d6cf,Jas 473,<p>Een hoogwaardige jas van Katoen in Geel kleur en maat L.</p>,FashionBrand,Jas,"Geel,Katoen,L,Jas,Unisex,Zomer",TRUE,Color,Geel,Size,L,002587dd0257,410,shopify,237,deny,manual,178.31,178.31,TRUE,TRUE,,Koop Jas 473 in Geel - Perfect voor Werk,
186b5efc,Jas 351,<p>Een hoogwaardige jas van Wol in Beige kleur en maat M.</p>,FashionBrand,Jas,"Beige,Wol,M,Jas,Dames,Zomer",TRUE,Color,Beige,Size,M,639600fbadd8,1063,shopify,409,deny,manual,480.62,480.62,TRUE,TRUE,,Koop Jas 351 in Beige - Perfect voor Formeel,
320fff9d,Accessoire 208,<p>Een hoogwaardige accessoire van Linnen in Zwart kleur en maat One Size.</p>,FashionBrand,Accessoire,"Zwart,Linnen,One Size,Accessoire,Heren,Herfst",TRUE,Color,Zwart,Size,One Size,99b590d88d6e,581,shopify,222,deny,manual,223.69,223.69,TRUE,TRUE,,Koop Accessoire 208 in Zwart - Perfect voor Werk,"Accessoire 208 gemaakt van Linnen, ideaal voor Herfst en Werk gelegenheden."
ea67e66d,Schoenen 164,<p>Een hoogwaardige schoenen van Wol in Groen kleur en maat 40.</p>,FashionBrand,Schoenen,"Groen,Wol,40,Schoenen,Heren,Herfst",TRUE,Color,Groen,Size,40,3c15a7a71a1d,440,shopify,276,deny,manual,127.27,165.45,TRUE,TRUE,,Koop Schoenen 164 in Groen - Perfect voor Sport,"Schoenen 164 gemaakt van Wol, ideaal voor Herfst en Sport gelegenheden."
e9b988a0,Jas 340,<p>Een hoogwaardige jas van Linnen in Zwart kleur en maat XL.</p>,FashionBrand,Jas,"Zwart,Linnen,XL,Jas,Unisex,Lente",TRUE,Color,Zwart,Size,XL,e33e10c0ebd3,416,shopify,379,deny,manual,344.41,378.85,TRUE,TRUE,,Koop Jas 340 in Zwart - Perfect voor Werk,
84cd6df4,Jurk 428,<p>Een hoogwaardige jurk van Polyester in Geel kleur en maat M.</p>,FashionBrand,Jurk,"Geel,Polyester,M,Jurk,Dames,Lente",TRUE,Color,Geel,Size,M,7bff18995f5a,735,shopify,300,deny,manual,148.3,163.13,TRUE,TRUE,,Koop Jurk 428 in Geel - Perfect voor Werk,"Jurk 428 gemaakt van Polyester, ideaal voor Lente en Werk gelegenheden."
401edf00,Shirt 45,<p>Een hoogwaardige shirt van Katoen in Geel kleur en maat XL.</p>,FashionBrand,Shirt,"Geel,Katoen,XL,Shirt,Dames,Zomer",TRUE,Color,Geel,Size,XL,159662fadcbe,933,shopify,141,deny,manual,218.78,218.78,TRUE,TRUE,,Koop Shirt 45 in Geel - Perfect voor Casual,"Shirt 45 gemaakt van Katoen, ideaal voor Zomer en Casual gelegenheden."
3f204110,Shirt 399,<p>Een hoogwaardige shirt van Denim in Groen kleur en maat S.</p>,FashionBrand,Shirt,"Groen,Denim,S,Shirt,Heren,Lente",TRUE,Color,Groen,Size,S,86bd5836b363,1138,shopify,138,deny,manual,223.91,246.3,TRUE,TRUE,,Koop Shirt 399 in Groen - Perfect voor Sport,"Shirt 399 gemaakt van Denim, ideaal voor Lente en Sport gelegenheden."
bc46f17e,Jurk 414,<p>Een hoogwaardige jurk van Wol in Geel kleur en maat L.</p>,FashionBrand,Jurk,"Geel,Wol,L,Jurk,Heren,Herfst",TRUE,Color,Geel,Size,L,232cf062f2e4,321,shopify,164,deny,manual,286.51,286.51,TRUE,TRUE,,Koop Jurk 414 in Geel - Perfect voor Formeel,"Jurk 414 gemaakt van Wol, ideaal voor Herfst en Formeel gelegenheden."
6dfa3c78,Jurk 487,<p>Een hoogwaardige jurk van Denim in Groen kleur en maat M.</p>,FashionBrand,Jurk,"Groen,Denim,M,Jurk,Unisex,Zomer",TRUE,Color,Groen,Size,M,0eca81eafc80,1196,shopify,356,deny,manual,428.76,428.76,TRUE,TRUE,,Koop Jurk 487 in Groen - Perfect voor Casual,"Jurk 487 gemaakt van Denim, ideaal voor Zomer en Casual gelegenheden."
7ac32c99,Shirt 242,<p>Een hoogwaardige shirt van Wol in Zwart kleur en maat M.</p>,FashionBrand,Shirt,"Zwart,Wol,M,Shirt,Dames,Winter",TRUE,Color,Zwart,Size,M,8620a659a2bb,486,shopify,489,deny,manual,384.37,384.37,TRUE,TRUE,,,"Shirt 242 gemaakt van Wol, ideaal voor Winter en Formeel gelegenheden."
